Q00ID,startlanguage,VVIQQ01[VVIQ01],VVIQQ01[VVIQ02],VVIQQ01[VVIQ03],VVIQQ01[VVIQ04],VVIQQ02[VVIQ05],VVIQQ02[VVIQ06],VVIQQ02[VVIQ07],VVIQQ02[VVIQ08],VVIQQ03[VVIQ09],VVIQQ03[VVIQ10],VVIQQ03[VVIQ11],VVIQQ03[VVIQ12],VVIQQ04[VVIQ13],VVIQQ04[VVIQ14],VVIQQ04[VVIQ15],VVIQQ04[VVIQ16],SUISQ02,SUISQ03,SUISQ04,SUISQ08,SUISQ01,SUISQ05,SUISQ06,SUISQ07,SUISQ09,SUISQ11,SUISQ10,SUISQ12,Q01AGE,Q02LANG,Q02LANG[other],Q03LANG,Q04SEX,Q04SEX[other],Q05EYE,Q06EAR,Q07FEEDBACK
27,en,2,4,2,4,3,4,3,4,4,3,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,3,5,4,22,2,,5,2,,1,2,"To enhance a participant's visualizations of the short stories, I think a more animated voice and tone would be appreciated"
28,nl,4,4,3,5,4,3,2,3,4,3,3,4,4,2,3,2,3,4,4,4,3,2,1,2,3,3,4,4,19,1,,4,2,,1,2,
29,en,4,3,4,4,4,4,3,4,4,4,5,3,4,3,4,3,4,5,4,5,5,5,1,5,5,2,3,2,21,-oth-,luxemburgish,5,1,,1,2,
30,nl,4,5,4,2,3,5,4,3,5,4,5,3,3,2,4,3,2,5,2,3,2,3,2,1,5,3,3,4,19,1,,5,1,,1,3,
31,en,5,3,1,5,5,4,2,1,5,5,5,5,3,4,5,5,4,4,5,5,3,5,3,2,4,3,3,4,19,2,,5,2,,2,2,
32,nl,3,4,2,4,4,4,3,3,5,5,4,4,4,4,3,2,2,4,3,5,4,3,3,4,3,2,3,4,20,1,,5,2,,2,1,
33,en,4,4,2,2,3,4,4,5,2,4,5,5,2,3,3,5,3,4,4,5,5,4,2,5,3,3,4,4,19,-oth-,German,4,2,,2,3,
34,nl,4,4,3,4,3,5,4,4,5,5,5,5,4,4,4,4,4,5,4,4,3,4,1,5,2,2,5,4,18,1,,4,2,,2,2,
35,nl,4,4,4,4,4,3,3,4,2,3,3,4,4,4,4,3,4,4,4,5,2,4,2,4,4,3,4,4,22,1,,4,2,,1,1,
36,en,4,4,3,3,4,3,2,4,4,2,3,3,4,4,4,3,3,4,4,5,3,4,2,3,3,4,5,3,19,-oth-,Spanish,4,2,,1,2,
37,en,4,4,4,4,3,4,3,4,5,4,2,4,3,2,3,3,2,4,4,4,2,2,1,1,2,2,1,4,22,-oth-,German,3,1,,2,2,
38,en,3,4,3,2,3,3,4,4,3,2,4,3,4,4,4,3,4,4,2,3,4,3,1,2,4,4,3,2,22,-oth-,German,4,2,,2,2,
39,en,3,4,2,1,5,4,4,5,5,3,4,4,5,5,3,4,5,3,3,4,4,5,4,5,4,3,3,2,18,-oth-,Russian,5,1,,2,3,
